"ID";"CulturalCenterName";"AdmArea";"District";"Address";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Latitude_WGS84";"Longitude_WGS84";"global_id";"geodata_center";"geoarea";
"58";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Фили Давыдково»";"Западный административный округ";"район Фили-Давыдково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Большая Филёвская улица, дом 59, корпус 1";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.738292";"37.464904";"879812776";"";"";
"59";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Фили Давыдково»";"Западный административный округ";"район Фили-Давыдково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Кременчугская улица, дом 7, корпус 3";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.721833";"37.465721";"879812777";"";"";
"61";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Оптимист»";"Западный административный округ";"район Тропарёво-Никулино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тропарево-Никулино, улица Академика Анохина, дом 62";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.648428";"37.468479";"879812780";"";"";
"65";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Оптимист»";"Западный административный округ";"район Раменки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мичуринский проспект, дом 54, корпус 3";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.694378";"37.487784";"879812785";"";"";
"66";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Оптимист»";"Западный административный округ";"район Раменки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, 3-й Сетуньский проезд, дом 13";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.731871";"37.533526";"879812786";"";"";
"69";"ГБУК города Москвы «Московский продюсерский центр»";"Южный административный округ";"район Чертаново Северное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Чертаново Северное, микрорайон Северное Чертаново, дом 5, корпус Г";"10";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.637992";"37.590991";"879812789";"";"";
"70";"ГБУК города Москвы «ОКЦ ТиНАО» Дом культуры «Десна»";"Новомосковский административный округ";"поселение Рязановское";"город Москва, поселение Рязановское, посёлок Ерино, Высокая улица, дом 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.449342";"37.521066";"879812791";"";"";
"71";"ГБУК города Москвы «ОКЦ САО» Центр культуры «Гармония»";"Северный административный округ";"район Сокол";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокол, 2-я Песчаная улица, дом 3";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.796420";"37.516251";"879812792";"";"";
"74";"ГБУК города Москвы «ОКЦ ЮВАО» Территориальная клубная система «Спутник»";"Юго-Восточный административный округ";"район Люблино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, улица Головачёва, дом 3, корпус 2";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.675209";"37.805509";"879812796";"";"";
"99";"ГБУК города Москвы «ОКЦ ЮАО» Культурный центр «Загорье»";"Южный административный округ";"район Бирюлёво Восточное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Восточное, Загорьевская улица, дом 1, корпус 1";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.581668";"37.673969";"879812797";"";"";
"76";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Кунцево»";"Западный административный округ";"Можайский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Беловежская улица, дом 39, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.710666";"37.391987";"879812801";"";"";
"101";"ГАУК города Москвы «Культурный центр «Зеленоград»";"Зеленоградский административный округ";"район Силино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1013А";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.989376";"37.170741";"879812803";"";"";
"78";"ГБУК города Москвы «ОКЦ ЗАО» Культурный центр «Зодчие»";"Западный административный округ";"район Кунцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, улица Боженко, дом 14, корпус 4";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.732671";"37.407780";"879812806";"";"";
"79";"ГБУК города Москвы «ОКЦ САО» Центр культуры «Гармония»";"Северный административный округ";"район Коптево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коптево, Большая Академическая улица, дом 35";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.831357";"37.530939";"879812808";"";"";
"104";"ГАУК города Москвы «Культурный центр «Зеленоград»";"Зеленоградский административный округ";"район Крюково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крюково, город Зеленоград, корпус 1432";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.989169";"37.154554";"879812810";"";"";
"81";"ГБУК города Москвы «ОКЦ ЮАО» Территориальная клубная система «Орехово»";"Южный административный округ";"район Орехово-Борисово Северное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Северное, Борисовский проезд, дом 22, корпус 1, строение 2";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.624190";"37.725801";"879812813";"";"";
"82";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Ново Переделкино»";"Западный административный округ";"район Ново-Переделкино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, Боровское шоссе, дом 33, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.640909";"37.361570";"879812815";"";"";
"107";"ГБУК города Москвы «ОКЦ ЗелАО» Культурный центр «Доброволец»";"Зеленоградский административный округ";"район Савёлки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савелки, город Зеленоград, корпус 705";"5";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.985871";"37.235106";"879812817";"";"";
"85";"ГБУК города Москвы «ОКЦ ЮЗАО» Культурный центр «Лира»";"Юго-Западный административный округ";"район Южное Бутово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, улица Брусилова, дом 15, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.502416";"37.580436";"879812822";"";"";
"110";"ГБУК города Москвы «ОКЦ ЮВАО» Территориальная клубная система «Спутник»";"Юго-Восточный административный округ";"Рязанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Рязанский, 3-я Институтская улица, дом 3";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.720662";"37.781775";"879812823";"";"";
"87";"ГБУК города Москвы «ОКЦ ЗАО» Культурный центр «Рублево»";"Западный административный округ";"район Кунцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, улица Василия Ботылёва, дом 43";"25";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.790124";"37.353531";"879812825";"";"";
"88";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Планета»";"Западный административный округ";"район Очаково-Матвеевское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Веерная улица, дом 12, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.710915";"37.485843";"879812826";"";"";
"1";"ГБУК города Москвы «ОКЦ ЗАО» Культурный центр «Зодчие»";"Западный административный округ";"район Кунцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, улица Боженко, дом 9";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.732291";"37.405202";"879812827";"";"";
"2";"ГБУК города Москвы «ОКЦ ЗАО» Культурный центр «Рублево»";"Западный административный округ";"район Кунцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, Полоцкая улица, дом 16";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.734456";"37.425180";"879812830";"";"";
"3";"ГБУК города Москвы «ОКЦ ЗАО» Культурный центр «Рублево»";"Западный административный округ";"район Кунцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, Партизанская улица, дом 35, корпус 1";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.738546";"37.407663";"879812833";"";"";
"4";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Кунцево»";"Западный административный округ";"район Крылатское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крылатское, Крылатская улица, дом 29, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.770056";"37.410879";"879812835";"";"";
"5";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Кунцево»";"Западный административный округ";"район Крылатское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крылатское, Рублёвское шоссе, дом 36, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.749881";"37.418137";"879812839";"";"";
"7";"ГБУК города Москвы «ОКЦ ЗАО» Дом культуры «Аструм»";"Западный административный округ";"район Дорогомилово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, улица Генерала Ермолова, дом 10/6";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.739184";"37.515533";"879812843";"";"";
"8";"ГБУК города Москвы «ОКЦ ЗАО» Дом культуры «Аструм»";"Западный административный округ";"район Дорогомилово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Победы, дом 2, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.737507";"37.518371";"879812845";"";"";
"9";"ГБУК города Москвы «ОКЦ ЦАО» Дом культуры «Гайдаровец»";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Большой Казённый переулок, дом 8, строение 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.759750";"37.655975";"879812846";"";"";
"10";"ГБУК города Москвы «ОКЦ СЗАО» Клуб «Феникс»";"Северо-Западный административный округ";"район Щукино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Бирюзова, дом 10, корпус 2";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.793060";"37.496309";"879812847";"";"";
"13";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Солнцево»";"Западный административный округ";"район Солнцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, Солнцевский проспект, дом 5";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.651349";"37.398347";"879812882";"";"";
"14";"ГАУК города Москвы «Культурный центр «Зеленоград»";"Зеленоградский административный округ";"район Силино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, корпус 1006";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.984703";"37.175044";"879812883";"";"";
"16";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Солнцево»";"Западный административный округ";"район Солнцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, Солнцевский проспект, дом 17/1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.647991";"37.409298";"879812885";"";"";
"17";"ГБУК города Москвы «ОКЦ СВАО» Московский многофункциональный культурный центр";"Северо-Восточный административный округ";"Бабушкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, улица Коминтерна, дом 11/7";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.864505";"37.679179";"879812886";"";"";
"18";"ГБУК города Москвы «Центр культуры и искусства «Меридиан»";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Профсоюзная улица, дом 61";"40";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.656697";"37.542500";"879812887";"";"";
"150";"ГБУК города Москвы «ОКЦ ЗАО» Культурный центр «Зодчие»";"Западный административный округ";"район Кунцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кунцево, Партизанская улица, дом 23";"12";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.735419";"37.411265";"879812897";"";"";
"132";"ГБУК города Москвы «Культурный центр «Строгино»";"Северо-Западный административный округ";"район Строгино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Строгино, улица Маршала Катукова, дом 9, корпус 3";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.811831";"37.404591";"879812898";"";"";
"151";"ГБУК города Москвы «ОКЦ ЗАО» Дом культуры «Аструм»";"Западный административный округ";"район Дорогомилово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, площадь Победы, дом 1, корпус А";"8";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.736508";"37.522054";"879812899";"";"";
"152";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Солнцево»";"Западный административный округ";"район Солнцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, Производственная улица, дом 7";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.649195";"37.384828";"879812900";"";"";
"133";"ГБУК города Москвы «Дом Романса»";"Северо-Западный административный округ";"район Щукино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Щукино, улица Маршала Новикова, дом 11";"3";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.802543";"37.465065";"879812901";"";"";
"137";"ГБУК города Москвы «ОКЦ САО» Дом культуры «Восход»";"Северный административный округ";"район Западное Дегунино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Западное Дегунино, улица Маршала Федоренко, дом 2, корпус 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.879233";"37.494162";"879812908";"";"";
"138";"ГБУК города Москвы «ОКЦ САО» Дом культуры «Восход»";"Северный административный округ";"район Западное Дегунино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Западное Дегунино, улица Маршала Федоренко, дом 2, корпус 2";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.879026";"37.494997";"879812910";"";"";
"140";"ГБУК города Москвы «ОКЦ ЮАО» Дом культуры «Дружба»";"Южный административный округ";"район Бирюлёво Западное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Западное, Медынская улица, дом 6А";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.593258";"37.644225";"879812914";"";"";
"142";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Кунцево»";"Западный административный округ";"Можайский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Можайское шоссе, дом 29";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.718775";"37.422710";"879812919";"";"";
"161";"ГБУК города Москвы «ОКЦ СЗАО» Культурный центр «Алые паруса»";"Северо-Западный административный округ";"район Северное Тушино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Северное Тушино, улица Свободы, дом 91";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.866632";"37.445267";"879812920";"";"";
"144";"ГБУК города Москвы «Культурный центр «Строгино»";"Северо-Западный административный округ";"район Строгино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Строгино, Неманский проезд, дом 5, корпус 2";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.814502";"37.394664";"879812923";"";"";
"145";"ГБУК города Москвы «ОКЦ ВАО» Централизованная клубная система «Восток»";"Восточный административный округ";"район Метрогородок";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Метрогородок, улица Николая Химушина, дом 17, корпус 3";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.824187";"37.764555";"879812925";"";"";
"164";"ГБУК города Москвы «ОКЦ СВАО» Клуб «Молодежный»";"Северо-Восточный административный округ";"район Свиблово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Свиблово, Снежная улица, дом 13, корпус 1";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.852162";"37.645510";"879812926";"";"";
"146";"ГБУК города Москвы «ОКЦ СЗАО» Клуб «Феникс»";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, Новохорошёвский проезд, дом 26";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.777935";"37.491161";"879812927";"";"";
"167";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Бригантина»";"Западный административный округ";"район Филёвский Парк";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, Филёвский бульвар, дом 11А";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.765741";"37.484765";"879812930";"";"";
"169";"ГБУК города Москвы «ОКЦ СВАО» Дом культуры «Темп»";"Северо-Восточный административный округ";"район Бибирево";"город Москва, Шенкурский проезд, дом 3";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.891663";"37.589994";"879812932";"";"";
"170";"ГБУК города Москвы «ОКЦ ЗАО» Территориальная клубная система «Ново Переделкино»";"Западный административный округ";"район Ново-Переделкино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, улица Шолохова, дом 12";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.639527";"37.352003";"879812933";"";"";
"171";"ГБУК города Москвы «ОКЦ ЮАО» Дом культуры «Нагорный»";"Южный административный округ";"Нагорный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Электролитный проезд, дом 3, корпус 1";"6";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.673631";"37.620959";"879812934";"";"";
"172";"ГБУК города Москвы «ОКЦ САО» Клуб «Родничок»";"Северный административный округ";"Савёловский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, улица Юннатов, дом 17, корпус 2";"4";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"55.803024";"37.557655";"879812939";"";"";
